0x7D3F	U+1F22A
0x7D40	U+1F22B
0x7D41	U+1F22C
0x7D42	U+1F22D
0x7D43	U+1F22E
0x7D44	U+1F22F
0x7D45	U+1F230
0x7D46	U+1F231
0x7D47	U+2113
0x7D48	U+338F
0x7D49	U+3390
0x7D4A	U+33CA
0x7D4B	U+339E
0x7D4C	U+33A2
0x7D4D	U+3371
0x7D50	U+00BD
0x7D51	U+2189
0x7D52	U+2153
0x7D53	U+2154
0x7D54	U+00BC
0x7D55	U+00BE
0x7D56	U+2155
0x7D57	U+2156
0x7D58	U+2157
0x7D59	U+2158
0x7D5A	U+2159
0x7D5B	U+215A
0x7D5C	U+2150
0x7D5D	U+215B
0x7D5E	U+2151
0x7D5F	U+2152
0x7D60	U+2600
0x7D61	U+2601
0x7D62	U+2602
0x7D63	U+26C4
0x7D64	U+2616
0x7D65	U+2617
0x7D66	U+26C9
0x7D67	U+26CA
0x7D68	U+2666
0x7D69	U+2665
0x7D6A	U+2663
0x7D6B	U+2660
0x7D6C	U+26CB
0x7D6D	U+2A00
0x7D6E	U+203C
0x7D6F	U+2049
0x7D70	U+26C5
0x7D71	U+2614
0x7D72	U+26C6
0x7D73	U+2603
0x7D74	U+26C7
0x7D75	U+26A1
0x7D76	U+26C8
0x7D78	U+269E
0x7D79	U+269F
0x7D7A	U+266C
0x7D7B	U+260E
0x7E21	U+2160
0x7E22	U+2161
0x7E23	U+2162
0x7E24	U+2163
0x7E25	U+2164
0x7E26	U+2165
0x7E27	U+2166
0x7E28	U+2167
0x7E29	U+2168
0x7E2A	U+2169
0x7E2B	U+216A
0x7E2C	U+216B
0x7E2D	U+2470
0x7E2E	U+2471
0x7E2F	U+2472
0x7E30	U+2473
0x7E31	U+2474
0x7E32	U+2475
0x7E33	U+2476
0x7E34	U+2477
0x7E35	U+2478
0x7E36	U+2479
0x7E37	U+247A
0x7E38	U+247B
0x7E39	U+247C
0x7E3A	U+247D
0x7E3B	U+247E
0x7E3C	U+247F
0x7E3D	U+3251
0x7E3E	U+3252
0x7E3F	U+3253
0x7E40	U+3254
0x7E41	U+1F110
0x7E42	U+1F111
0x7E43	U+1F112
0x7E44	U+1F113
0x7E45	U+1F114
0x7E46	U+1F115
0x7E47	U+1F116
0x7E48	U+1F117
0x7E49	U+1F118
0x7E4A	U+1F119
0x7E4B	U+1F11A
0x7E4C	U+1F11B
0x7E4D	U+1F11C
0x7E4E	U+1F11D
0x7E4F	U+1F11E
0x7E50	U+1F11F
0x7E51	U+1F120
0x7E52	U+1F121
0x7E53	U+1F122
0x7E54	U+1F123
0x7E55	U+1F124
0x7E56	U+1F125
0x7E57	U+1F126
0x7E58	U+1F127
0x7E59	U+1F128
0x7E5A	U+1F129
0x7E5B	U+3255
0x7E5C	U+3256
0x7E5D	U+3257
0x7E5E	U+3258
0x7E5F	U+3259
0x7E60	U+325A
0x7E61	U+2460
0x7E62	U+2461
0x7E63	U+2462
0x7E64	U+2463
0x7E65	U+2464
0x7E66	U+2465
0x7E67	U+2466
0x7E68	U+2467
0x7E69	U+2468
0x7E6A	U+2469
0x7E6B	U+246A
0x7E6C	U+246B
0x7E6D	U+246C
0x7E6E	U+246D
0x7E6F	U+246E
0x7E70	U+246F
0x7E71	U+2776
0x7E72	U+2777
0x7E73	U+2778
0x7E74	U+2779
0x7E75	U+277A
0x7E76	U+277B
0x7E77	U+277C
0x7E78	U+277D
0x7E79	U+277E
0x7E7A	U+277F
0x7E7B	U+24EB
0x7E7C	U+24EC
0x7E7D	U+325B
