287D	5E6C
287E	5E6D
2C21	5E6E
2C22	2217B
2C23	5EA5
2C24	5EAA
2C25	5EAC
2C26	5EB9
2C27	5EBF
2C28	5EC6
2C29	5ED2
2C2A	5ED9
2C2B	2231E
2C2C	5EFD
2C2D	5F08
2C2E	5F0E
2C2F	5F1C
2C30	223AD
2C31	5F1E
2C32	5F47
2C33	5F63
2C34	5F72
2C35	5F7E
2C36	5F8F
2C37	5FA2
2C38	5FA4
2C39	5FB8
2C3A	5FC4
2C3B	38FA
2C3C	5FC7
2C3D	5FCB
2C3E	5FD2
2C3F	5FD3
2C40	5FD4
2C41	5FE2
2C42	5FEE
2C43	5FEF
2C44	5FF3
2C45	5FFC
2C46	3917
2C47	6017
2C48	6022
2C49	6024
2C4A	391A
2C4B	604C
2C4C	607F
2C4D	608A
2C4E	6095
2C4F	60A8
2C50	226F3
2C51	60B0
2C52	60B1
2C53	60BE
2C54	60C8
2C55	60D9
2C56	60DB
2C57	60EE
2C58	60F2
2C59	60F5
2C5A	6110
2C5B	6112
2C5C	6113
2C5D	6119
2C5E	611E
2C5F	613A
2C60	396F
2C61	6141
2C62	6146
2C63	6160
2C64	617C
2C65	2285B
2C66	6192
2C67	6193
2C68	6197
2C69	6198
2C6A	61A5
2C6B	61A8
2C6C	61AD
2C6D	228AB
2C6E	61D5
2C6F	61DD
2C70	61DF
2C71	61F5
2C72	2298F
2C73	6215
2C74	6223
2C75	6229
2C76	6246
2C77	624C
2C78	6251
2C79	6252
2C7A	6261
2C7B	6264
2C7C	627B
2C7D	626D
2C7E	6273
2D21	6299
2D22	62A6
2D23	62D5
2D24	22AB8
2D25	62FD
2D26	6303
2D27	630D
2D28	6310
2D29	22B4F
2D2A	22B50
2D2B	6332
2D2C	6335
2D2D	633B
2D2E	633C
2D2F	6341
2D30	6344
2D31	634E
2D32	22B46
2D33	6359
2D34	22C1D
2D35	22BA6
2D36	636C
2D37	6384
2D38	6399
2D39	22C24
2D3A	6394
2D3B	63BD
2D3C	63F7
2D3D	63D4
2D3E	63D5
2D3F	63DC
2D40	63E0
2D41	63EB
2D42	63EC
2D43	63F2
2D44	6409
2D45	641E
2D46	6425
2D47	6429
2D48	642F
2D49	645A
2D4A	645B
2D4B	645D
2D4C	6473
2D4D	647D
2D4E	6487
2D4F	6491
2D50	649D
2D51	649F
2D52	64CB
2D53	64CC
2D54	64D5
2D55	64D7
2D56	22DE1
2D57	64E4
2D58	64E5
2D59	64FF
2D5A	6504
2D5B	3A6E
2D5C	650F
2D5D	6514
2D5E	6516
2D5F	3A73
2D60	651E
2D61	6532
2D62	6544
2D63	6554
2D64	656B
2D65	657A
2D66	6581
2D67	6584
2D68	6585
2D69	658A
2D6A	65B2
2D6B	65B5
2D6C	65B8
2D6D	65BF
2D6E	65C2
2D6F	65C9
2D70	65D4
2D71	3AD6
2D72	65F2
2D73	65F9
2D74	65FC
2D75	6604
2D76	6608
2D77	6621
2D78	662A
2D79	6645
2D7A	6651
2D7B	664E
2D7C	3AEA
2D7D	231C3
2D7E	6657
2E21	665B
2E22	6663
2E23	231F5
2E24	231B6
2E25	666A
2E26	666B
2E27	666C
2E28	666D
2E29	667B
2E2A	6680
2E2B	6690
2E2C	6692
2E2D	6699
2E2E	3B0E
2E2F	66AD
2E30	66B1
2E31	66B5
2E32	3B1A
2E33	66BF
2E34	3B1C
2E35	66EC
2E36	3AD7
2E37	6701
2E38	6705
2E39	6712
2E3A	23372
2E3B	6719
2E3C	233D3
2E3D	233D2
2E3E	674C
2E3F	674D
2E40	6754
2E41	675D
2E42	233D0
2E43	233E4
2E44	233D5
2E45	6774
2E46	6776
2E47	233DA
2E48	6792
2E49	233DF
2E4A	8363
2E4B	6810
2E4C	67B0
