0x7C47	U+1F108	# 7, 
0x7C48	U+1F109	# 8, 
0x7C49	U+1F10A	# 9, 
0x7C4A	U+3233	# 社団法人
0x7C4B	U+3236	# 財団法人
0x7C4C	U+3232	# 有限会社
0x7C4D	U+3231	# 株式会社
0x7C4E	U+3239	# 代表
0x7C4F	U+3244	# 問(丸囲い)
0x7C50	U+25B6	# 黒右向き三角
0x7C51	U+25C0	# 黒左向き三角
0x7C52	U+3016	# 始めすみ付き括弧(中抜き)
0x7C53	U+3017	# 終わりすみ付き括弧(中抜き)
0x7C54	U+27D0	# 菱形の中に・
0x7C55	U+00B2	# 上付き2
0x7C56	U+00B3	# 上付き3
0x7C57	U+1F12D	# CD(丸囲い)
0x7C58	U+28+76+6E+29	# バイオリン (vn)
0x7C59	U+28+6F+62+29	# オーボエ (ob)
0x7C5A	U+28+63+62+29	# コントラバス (cb)
0x7C5B	U+28+63+65	# チェンバロ1 (ce
0x7C5C	U+6D+62+29	# チェンバロ2 mb)
0x7C5D	U+28+68+70+29	# ハープ (hp)
0x7C5E	U+28+62+72+29	# バリトン (br)
0x7C5F	U+28+70+29	# ピアノ (p)
0x7C60	U+28+73+29	# ソプラノ (s)
0x7C61	U+28+6D+73+29	# メゾソプラノ (ms)
0x7C62	U+28+74+29	# テノール (t)
0x7C63	U+28+62+73+29	# バス (bs)
0x7C64	U+28+62+29	# ベース (b)
0x7C65	U+28+74+62+29	# トロンボーン (tb)
0x7C66	U+28+74+70+29	# トランペット (tp)
0x7C67	U+28+64+73+29	# ドラムス (ds)
0x7C68	U+28+61+67+29	# アコースティックギター (ag)
0x7C69	U+28+65+67+29	# エレキギター (eg)
0x7C6A	U+28+76+6F+29	# ヴォーカル (vo)
0x7C6B	U+28+66+6C+29	# フルート (fl)
0x7C6C	U+28+6B+65	# キーボード1 (ke
0x7C6D	U+79+29	# キーボード2 y)
0x7C6E	U+28+73+61	# サクソフォーン1 (sa
0x7C6F	U+78+29	# サクソフォーン2 x)
0x7C70	U+28+73+79	# シンセサイザー1 (sy
0x7C71	U+6E+29	# シンセサイザー2 n)
0x7C72	U+28+6F+72	# オルガン1 (or
0x7C73	U+67+29	# オルガン2 g)
